epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.24172,2.41277,2.96001,1.83596,0.00374,0.10779,0.00257,0.0008,3.28792,3.74822,3.0883,0.00032,0.00032,0.00032
2,13.8382,1.53994,1.3568,1.2098,0.00544,0.15688,0.01334,0.0074,3.23457,3.77993,2.71965,0.00065406,0.00065406,0.00065406
3,19.5761,1.31462,0.9954,1.07593,0.79038,0.42689,0.52009,0.30615,1.67909,2.19814,1.42443,0.000982,0.000982,0.000982
4,25.2324,1.23028,0.89116,1.03212,0.83531,0.81964,0.87995,0.56344,1.25,1.01843,1.03869,0.00130382,0.00130382,0.00130382
5,30.9939,1.19105,0.83571,1.01874,0.86337,0.82272,0.90752,0.59777,1.2446,0.87946,1.04347,0.00161952,0.00161952,0.00161952
6,36.7002,1.17042,0.7954,1.01335,0.86784,0.88999,0.93767,0.64678,1.11134,0.76032,0.98791,0.00191,0.00191,0.00191
7,42.4551,1.14579,0.77012,1.00315,0.8745,0.89755,0.95168,0.64249,1.16215,0.73217,1.01699,0.001892,0.001892,0.001892
8,48.3599,1.12196,0.75007,0.99293,0.85059,0.91676,0.94068,0.63937,1.11463,0.83727,1.00363,0.001874,0.001874,0.001874
9,54.1278,1.11412,0.70451,0.98784,0.82867,0.89434,0.91726,0.63202,1.09024,0.74859,0.99975,0.001856,0.001856,0.001856
10,59.6817,1.09576,0.68754,0.98404,0.86473,0.92316,0.9574,0.67684,1.06361,0.65806,0.97832,0.001838,0.001838,0.001838
11,65.3073,1.07383,0.67965,0.9809,0.8202,0.92529,0.93662,0.63945,1.08898,0.79858,0.9948,0.00182,0.00182,0.00182
12,70.9037,1.07717,0.67581,0.97347,0.86501,0.91996,0.93282,0.64096,1.07839,0.80627,0.98481,0.001802,0.001802,0.001802
13,76.4141,1.07503,0.66366,0.97893,0.88184,0.92102,0.96231,0.67128,1.08849,0.65626,0.98552,0.001784,0.001784,0.001784
14,82.023,1.0539,0.64732,0.96833,0.88718,0.91569,0.95783,0.69117,1.0381,0.62156,0.97241,0.001766,0.001766,0.001766
15,87.6301,1.06248,0.62484,0.96721,0.89032,0.91826,0.9521,0.6838,1.04723,0.60713,0.9729,0.001748,0.001748,0.001748
16,93.1,1.0553,0.62425,0.96937,0.8815,0.90504,0.95096,0.67636,1.07281,0.6113,0.976,0.00173,0.00173,0.00173
17,99.0112,1.03376,0.61856,0.96103,0.91956,0.89434,0.96445,0.69006,1.05781,0.65248,0.98204,0.001712,0.001712,0.001712
18,104.587,1.02819,0.60628,0.95507,0.83939,0.93705,0.94215,0.66718,1.03147,0.72137,0.97533,0.001694,0.001694,0.001694
19,110.253,1.02629,0.6081,0.95918,0.88011,0.93383,0.95728,0.67732,1.02029,0.64944,0.96749,0.001676,0.001676,0.001676
20,115.764,1.01335,0.5943,0.95418,0.91043,0.92207,0.97198,0.69943,1.02806,0.60816,0.97227,0.001658,0.001658,0.001658
21,121.304,1.01301,0.56767,0.94733,0.86631,0.93597,0.96032,0.69497,1.03572,0.61541,0.97321,0.00164,0.00164,0.00164
22,126.842,1.01659,0.5857,0.95474,0.90566,0.90928,0.96689,0.7018,1.003,0.63207,0.95439,0.001622,0.001622,0.001622
23,132.478,1.00397,0.58416,0.94598,0.87066,0.92674,0.95686,0.67572,1.03732,0.68233,0.9693,0.001604,0.001604,0.001604
24,138.003,0.99047,0.57499,0.94765,0.88923,0.91142,0.96348,0.6982,1.03821,0.60054,0.96516,0.001586,0.001586,0.001586
25,143.481,1.00176,0.56407,0.94471,0.92613,0.90502,0.97198,0.7109,1.03162,0.57945,0.96774,0.001568,0.001568,0.001568
